combination_id,k,thrshld,p1,p2,beta,seeds,primary_delta_star,num_intersections,status,delta_star_count,delta_star_values,dominant_below,dominant_above,always_dominant,intersection_1,intersection_2,intersection_3,intersection_4,intersection_5
1944,12,4,0.2,0.8,7,4,,0,not_found,0,None,,,Random,,,,,
1950,12,4,0.2,1,3,4,,0,not_found,0,None,,,Random,,,,,
1947,12,4,0.2,0.9,5,4,,0,not_found,0,None,,,Random,,,,,
1953,12,4,0.3,0.3,1,4,,0,not_found,0,None,,,Random,,,,,
1948,12,4,0.2,0.9,7,4,,0,not_found,0,None,,,Random,,,,,
1954,12,4,0.3,0.3,3,4,,0,not_found,0,None,,,Random,,,,,
1951,12,4,0.2,1,5,4,,0,not_found,0,None,,,Random,,,,,
1957,12,4,0.3,4,1,4,,0,not_found,0,None,,,Random,,,,,
1958,12,4,0.3,4,3,4,,0,not_found,0,None,,,Random,,,,,
1952,12,4,0.2,1,7,4,,0,not_found,0,None,,,Random,,,,,
1955,12,4,0.3,0.3,5,4,,0,not_found,0,None,,,Random,,,,,
1961,12,4,0.3,0.5,1,4,,0,not_found,0,None,,,Random,,,,,
1956,12,4,0.3,0.3,7,4,,0,not_found,0,None,,,Random,,,,,
1959,12,4,0.3,4,5,4,,0,not_found,0,None,,,Random,,,,,
1962,12,4,0.3,0.5,3,4,,0,not_found,0,None,,,Random,,,,,
1965,12,4,0.3,0.6,1,4,,0,not_found,0,None,,,Random,,,,,
1960,12,4,0.3,4,7,4,,0,not_found,0,None,,,Random,,,,,
1966,12,4,0.3,0.6,3,4,,0,not_found,0,None,,,Random,,,,,
1963,12,4,0.3,0.5,5,4,,0,not_found,0,None,,,Random,,,,,
1969,12,4,0.3,0.7,1,4,,0,not_found,0,None,,,Random,,,,,
1964,12,4,0.3,0.5,7,4,,0,not_found,0,None,,,Random,,,,,
1967,12,4,0.3,0.6,5,4,,0,not_found,0,None,,,Random,,,,,
1970,12,4,0.3,0.7,3,4,,0,not_found,0,None,,,Random,,,,,
1973,12,4,0.3,0.8,1,4,,0,not_found,0,None,,,Random,,,,,
1968,12,4,0.3,0.6,7,4,,0,not_found,0,None,,,Random,,,,,
1974,12,4,0.3,0.8,3,4,,0,not_found,0,None,,,Random,,,,,
1971,12,4,0.3,0.7,5,4,,0,not_found,0,None,,,Random,,,,,
1977,12,4,0.3,0.9,1,4,,0,not_found,0,None,,,Random,,,,,
